"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
6.47374685206962e-314,13103,"福岡藩黒田家屋敷跡第2遺跡",35.67041663,139.739599,"0","0","0","0","0","0","0","1","0"
6.47374690048805e-314,13103,"浄土寺寺域第一遺跡",35.67415394,139.7354448,"0","0","0","0","0","0","0","1","0"
6.47374694989462e-314,13103,"丹波柏原藩織田家屋敷跡遺跡",35.65182331,139.7381001,"0","0","0","0","0","0","0","1","0"
6.47374699930118e-314,13103,"港区№98遺跡",35.66256155,139.7601812,"0","0","0","0","0","0","0","1","0"
6.47374704870775e-314,13103,"陸奥八戸藩南部家屋敷跡下層遺跡",35.66317679,139.7407608,"0","1","1","1","0","0","0","0","0"
6.47374709811431e-314,13103,"港区№100遺跡",35.66505958,139.7431641,"0","1","1","1","1","1","0","0","0"
6.47374714752088e-314,13103,"三田台町・三田台裏町・芝伊皿子台町町屋跡遺跡",35.6412913,139.7379113,"0","0","0","0","0","0","0","1","0"
6.47374719692744e-314,13103,"港区№102遺跡",35.66319074,139.7396794,"0","0","0","0","0","0","0","1","0"
6.47374724633401e-314,13103,"大和小泉藩片桐家屋敷跡遺跡",35.66434673,139.7498815,"0","0","0","0","0","0","0","1","0"
6.47374729574057e-314,13103,"港区№104遺跡",35.64165402,139.7273198,"0","0","0","0","0","0","0","1","0"
6.47374734514713e-314,13103,"港区№105遺跡",35.66579648,139.7502159,"0","0","0","0","0","0","0","1","0"
6.4737473945537e-314,13103,"増上寺寺域第一遺跡",35.6609158,139.749905,"0","0","0","0","0","0","0","1","0"
6.47374744396026e-314,13103,"港区№107遺跡",35.66469697,139.7401772,"0","0","0","0","0","0","0","1","0"
6.47374749386089e-314,13103,"溜池跡遺跡",35.67103023,139.741453,"0","0","0","0","0","0","0","1","0"
6.47374749435496e-314,13103,"溜池跡遺跡",35.66949623,139.741041,"0","0","0","0","0","0","0","1","0"
6.47374754277339e-314,13103,"港区№109遺跡",35.653812,139.741333,"0","0","0","0","1","1","0","0","0"
6.47374759217996e-314,13103,"越後長岡藩牧野家屋敷跡第2遺跡",35.66447225,139.7500532,"0","0","0","0","0","0","0","1","0"
6.47374764158652e-314,13103,"港区№111遺跡",35.64006364,139.7215176,"0","0","0","0","0","0","0","1","0"
