JASID,自治体コード,遺跡番号,種類,所在地（代表地番）,時代,名称・備考,旧市番号,地図,経度,緯度
14134011900,14134,高津区No.119,古墳,高津区末長1-41,古墳,末長向台１号墳,宮崎-39,52,139.6053957,35.59109329
14134012000,14134,高津区No.120,その他の墓,高津区北見方2-1,中世,板碑,高津-4,46,139.6308535,35.59983925
14134012100,14134,高津区No.121,古墳,高津区久本1-16,古墳,久本山古墳,末長-19,51,139.611818,35.59630795
14134012200,14134,高津区No.122,古墳,高津区久本2-12,古墳,末長久保台古墳群,末長-20,52,139.6122249,35.59305853
14134012300,14134,高津区No.123,その他の墓,高津区新作2-11,中世　近世,新作キシ遺跡,末長-18,48,139.616302,35.583717
14134012400,14134,高津区No.124,散布地,高津区千年1123,縄文　古墳　奈良　平安,,末長-21,48,139.6211862,35.58065149
14134012500,14134,高津区No.125,古墳,高津区梶ヶ谷5-10,縄文　古墳　奈良　平安,,千年-31,52,139.606628,35.584248
14134012600,14134,高津区No.126,その他の墓,高津区千年463付近,中世,岩川不動尊跡出土板碑,千年-32,49,139.6235788,35.57855117
14134012700,14134,高津区No.127,散布地,高津区久末1694ほか,古墳,,久末-15,49,139.6232428,35.56639904
14134012800,14134,高津区No.128,横穴墓,高津区久地1-28,古墳,津田山久地横穴墓,津田山-43,51,139.6049525,35.60579244
14134012900,14134,高津区No.129,横穴墓,高津区下作延7-12,古墳,津田山横穴墓群,津田山-44,51,139.6032865,35.60419826
14134013000,14134,高津区No.130,集落跡,高津区下作延2118,古墳,緑ヶ丘霊園内遺跡,津田山-45,51,139.5915913,35.60631037
14134013100,14134,高津区No.131,古墳,高津区梶ヶ谷2-1,古墳,清水谷古墳(２号墳）,宮崎-35,52,139.6038778,35.5907997
14134013200,14134,高津区No.132,散布地,高津区新作1-22,奈良　平安,,宮崎-36,52,139.6080199,35.58810263
14134013300,14134,高津区No.133,散布地,高津区梶ヶ谷6-3,奈良　平安,,宮崎-37,52,139.6086377,35.58445457
14134013400,14134,高津区No.134,狩場,高津区久末496ほか,縄文,,久末-16,49,139.6179768,35.56418063
14134013500,14134,高津区No.135,横穴墓,高津区蟹ヶ谷277-1,古墳,蟹ヶ谷四方之嶺横穴墓,久末-17,49,139.6314733,35.56597863
14134013600,14134,高津区No.136,古墳,高津区末長1-37,古墳,末長向台２号墳,宮崎-38,52,139.6077411,35.58932197
14134013700,14134,高津区No.137,古墳,高津区末長1-43,古墳,末長向台３号墳,宮崎-39,52,139.6062969,35.59085598
14134013800,14134,高津区No.138,散布地,高津区北野川6ほか,古墳　奈良　平安,,千年-30,49,139.6216187,35.57889084
14134013900,14134,高津区No.139,横穴墓,高津区久地1-1,古墳,久地西前田耕地横穴墓群,津田山-3,51,139.6069956,35.60492425
14134014000,14134,高津区No.140,横穴墓,高津区上作延76-1,古墳,緑ヶ丘霊園内南横穴古墳,津田山-21,57,139.590012,35.60160682
14134014100,14134,高津区No.141,横穴墓,高津区上作延88,古墳,,津田山-22,51,139.5909218,35.60145329
14134014200,14134,高津区No.142,散布地,高津区宮崎6-3,縄文,,宮崎-40,52,139.592177,35.59340514
14134014300,14134,高津区No.143,古墳,高津区末長1-38,古墳,末長向台４号墳,—,52,139.6079277,35.59054887
14134014400,14134,高津区No.144,古墳,高津区末長1-38,古墳,末長向台５号墳,—,52,139.6071209,35.59067451
14134014500,14134,高津区No.145,古墳,高津区北見方2-6,古墳,,—,46,139.6293171,35.60136761
14134014600,14134,高津区No.146,古墳,高津区末長1-41,古墳,末長向台６号墳,—,52,139.6061681,35.59120496
14134014700,14134,高津区No.147,集落跡,宮前区野川本町1-38,縄文　弥生　奈良　平安　中世,影向寺台西遺跡・三荷座前遺跡,千年-10,48,139.606949,35.578056
14134014800,14134,高津区No.148,社寺跡 集落跡 貝塚,宮前区野川本町3-4,縄文　弥生　古墳　奈良　平安 中世,影向寺遺跡・影向寺裏貝塚・影向寺台遺跡・影向寺北遺跡,千年-11,49,139.6182874,35.57945191
14134014900,14134,高津区No.149,散布地,高津区向ヶ丘167ほか,縄文　弥生,,宮崎-20,57,139.5896308,35.59552802
14134015000,14134,高津区No.150,散布地,宮前区宮崎3-3-22ほか,縄文　古墳　奈良　平安,,宮崎-15,52,139.5934631,35.59211159
14134015100,14134,高津区No.151,狩場 集落跡,高津区蟹ヶ谷字四方之嶺220付近,縄文　弥生　古墳,蟹ヶ谷四方之嶺遺跡,—,49,139.6311987,35.56643943
14136000100,14136,宮前区No.1,古墳,川崎市宮前区野川本町1-28,古墳,野川２号墳,千年-21,48,139.613862,35.58141341
14136000200,14136,宮前区No.2,集落跡,川崎市宮前区野川本町1-29,縄文　弥生　古墳　奈良　平安,野川北耕地遺跡,千年-15,48,139.6145658,35.58021275
14136000300,14136,宮前区No.3,古墳,川崎市宮前区野川本町1-30,古墳,野川古墳(1号墳）,千年-17,48,139.6145658,35.57932621
14136000400,14136,宮前区No.4,集落跡,川崎市宮前区野川本町1-38,縄文　弥生　奈良　平安　中世,影向寺台西遺跡・三荷座前遺跡,千年-10,48,139.6165853,35.57912795
14136000500,14136,宮前区No.5,社寺跡 集落跡 貝塚,川崎市宮前区野川本町3-4,縄文　弥生　古墳　奈良　平安　中世,影向寺遺跡・影向寺裏貝塚・影向寺台遺跡・影向寺北遺跡,千年-11,49,139.6188058,35.57859672
14136000600,14136,宮前区No.6,集落跡,川崎市宮前区野川本町3-10,縄文　弥生　古墳　奈良　平安,野川神明社境内遺跡,千年-12,48,139.6184797,35.57595795
14136000700,14136,宮前区No.7,集落跡,川崎市宮前区野川野川本町2-20,縄文　弥生　古墳　奈良　平安,野川東耕地遺跡,千年-18,53,139.615098,35.5746874
14136000800,14136,宮前区No.8,古墳,川崎市宮前区野川本町2-6,古墳,北根古墳,千年-22,48,139.6130102,35.57638378
